2025-11-21 20:51:23,100 | INFO | Market order response: ok
2025-11-21 20:52:50,598 | INFO | Limit order response: ok
2025-11-21 20:57:51,971 | INFO | TWAP chunk 1/5: ok
2025-11-21 20:57:55,351 | INFO | TWAP chunk 2/5: ok
2025-11-21 20:57:58,779 | INFO | TWAP chunk 3/5: ok
2025-11-21 20:58:01,926 | INFO | TWAP chunk 4/5: ok
2025-11-21 20:58:05,333 | INFO | TWAP chunk 5/5: ok
2025-11-21 21:46:07,405 | INFO | Market order response: ok
2025-11-22 18:12:44,957 | INFO | Market order response: ok
2025-11-22 18:13:47,981 | INFO | Limit order response: ok
2025-11-22 18:16:19,739 | INFO | Market order response: ok
2025-11-22 18:16:35,612 | INFO | Limit order response: ok
2025-11-22 18:17:50,105 | INFO | TWAP chunk 1/5: ok
2025-11-22 18:17:54,563 | INFO | TWAP chunk 2/5: ok
2025-11-22 18:17:59,069 | INFO | TWAP chunk 3/5: ok
2025-11-22 18:18:03,472 | INFO | TWAP chunk 4/5: ok
2025-11-22 18:18:07,875 | INFO | TWAP chunk 5/5: ok
2025-11-22 18:20:16,275 | INFO | Market order response: ok
2025-11-22 18:20:28,239 | INFO | Limit order response: ok
2025-11-22 18:20:51,563 | INFO | TWAP chunk 1/5: ok
2025-11-22 18:20:54,995 | INFO | TWAP chunk 2/5: ok
2025-11-22 18:20:58,359 | INFO | TWAP chunk 3/5: ok
2025-11-22 18:21:01,521 | INFO | TWAP chunk 4/5: ok
2025-11-22 18:21:04,904 | INFO | TWAP chunk 5/5: ok
